6664	Buffer Level	Buffer Control PID Delays
-0.677174	0.000000	0.000000
-0.667196	0.000000	0.000000
-0.657174	0.000000	0.000000
-0.647190	0.000000	0.000000
-0.637192	0.000000	0.000000
-0.627158	0.000000	0.000000
-0.617143	0.000000	0.000000
-0.607171	0.000000	0.000000
-0.597162	0.000000	0.000000
-0.587174	0.000000	0.000000
-0.577168	0.000000	0.000000
-0.567154	0.000000	0.000000
-0.557145	0.000000	0.000000
-0.547159	0.000000	0.000000
-0.537158	0.000000	0.000000
-0.527154	0.000000	0.000000
-0.517158	0.000000	0.000000
-0.507165	0.000000	0.000000
-0.497143	0.000000	0.000000
-0.487145	0.000000	0.000000
-0.477142	0.000000	0.000000
-0.467137	0.000000	0.000000
-0.457135	0.000000	0.000000
-0.447109	0.000000	0.000000
-0.437147	0.000000	0.000000
-0.427153	0.000000	0.000000
-0.417172	0.000000	0.000000
-0.407162	0.000000	0.000000
-0.397193	0.000000	0.000000
-0.387170	0.000000	0.000000
-0.377195	0.000000	0.000000
-0.367132	0.000000	0.000000
-0.357182	0.000000	0.000000
-0.347167	0.000000	0.000000
-0.337193	0.000000	0.000000
-0.327178	0.000000	0.000000
-0.317194	0.000000	0.000000
-0.307197	0.000000	0.000000
-0.297164	0.000000	0.000000
-0.286996	0.000000	0.000000
-0.284265	0.000000	0.000000
-0.276877	0.000000	0.000000
-0.267001	0.000000	0.000000
-0.256974	0.000000	0.000000
-0.247185	0.000000	0.000000
-0.237152	0.000000	0.000000
-0.233294	0.000000	0.000000
-0.227153	0.000000	0.000000
-0.217159	0.000000	0.000000
-0.207198	0.000000	0.000000
-0.197180	0.000000	0.000000
-0.187124	0.000000	0.000000
-0.182421	0.000000	0.000000
-0.131096	0.000000	0.000000
-0.080362	0.000000	0.000000
-0.029197	0.000000	0.000000
0.021841	0.000000	0.000000
0.071950	0.000000	0.000000
0.122764	0.000000	0.000000
0.172903	0.000000	0.000000
0.223851	0.000000	0.000000
0.273855	0.000000	0.000000
-0.177178	0.000000	0.000000
-0.167202	0.000000	0.000000
-0.157172	0.000000	0.000000
-0.147166	0.000000	0.000000
-0.137169	0.000000	0.000000
-0.127198	0.000000	0.000000
-0.117129	0.000000	0.000000
-0.107172	0.000000	0.000000
-0.097162	0.000000	0.000000
-0.087171	0.000000	0.000000
-0.077122	0.000000	0.000000
-0.067169	0.000000	0.000000
-0.057148	0.000000	0.000000
-0.047138	0.000000	0.000000
-0.037053	0.000000	0.000000
-0.027130	0.000000	0.000000
-0.017140	0.000000	0.000000
-0.007122	0.000000	0.000000
0.002867	0.000000	0.000000
0.012844	0.000000	0.000000
0.022833	0.000000	0.000000
0.032813	0.000000	0.000000
0.042805	0.000000	0.000000
0.052835	0.000000	0.000000
0.062857	0.000000	0.000000
0.072830	0.000000	0.000000
0.082822	0.000000	0.000000
0.092832	0.000000	0.000000
0.102807	0.000000	0.000000
0.112835	0.000000	0.000000
0.122803	0.000000	0.000000
0.132888	0.000000	0.000000
0.142797	0.000000	0.000000
0.152838	0.000000	0.000000
0.162816	0.000000	0.000000
0.172809	0.000000	0.000000
0.182812	0.000000	0.000000
0.192812	0.000000	0.000000
0.202865	0.000000	0.000000
0.212805	0.000000	0.000000
0.222827	0.000000	0.000000
0.232821	0.000000	0.000000
0.242811	0.000000	0.000000
0.252820	0.000000	0.000000
0.262852	0.000000	0.000000
0.272845	0.000000	0.000000
0.282805	0.000000	0.000000
0.292855	0.000000	0.000000
0.302876	0.000000	0.000000
0.312838	0.000000	0.000000
0.323857	0.000000	0.000000
0.373857	0.000000	0.000000
0.423864	0.000000	0.000000
0.474611	0.000000	0.000000
0.525624	0.000000	0.000000
0.576569	0.000000	0.000000
