1910	X	Z	S	Y	A	B	V	W
-0.236865	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
-0.219874	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
-0.207880	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
-0.195887	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
-0.174900	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
-0.154911	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
-0.129925	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
-0.109937	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
-0.080954	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
-0.063963	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
-0.039977	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
-0.014991	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.008995	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.033982	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.057970	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.074957	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.094947	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.115934	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.139920	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.164906	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.201885	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.234866	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.254854	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.275842	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.295832	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.328815	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.348801	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.373787	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.414763	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.451742	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.480725	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.504711	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.537692	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.553684	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.574672	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.594660	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.631640	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.652628	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.672616	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.701600	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.734580	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.758569	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.787550	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.808538	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.832524	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.857513	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.881496	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.914477	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.943460	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
0.959451	1.749996	-0.099996	-90.000000	2.049996	0.000000	-0.000000	0.000000	0.000000
