6077	X	Z	S	Y	A	B	V	W
0.010001	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.020004	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.029971	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.039983	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.049950	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.050990	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.059953	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.069952	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.079970	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.089946	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.099947	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.101020	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.109970	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.119998	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.129947	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.139956	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.149943	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.159982	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.169957	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.179981	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.189972	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.199994	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.209948	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.219944	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.229939	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.239954	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.249948	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.259948	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.269944	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.279947	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.289987	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.299964	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.310006	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.319946	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.329972	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.339984	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.349954	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.359975	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.370033	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.379952	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.389963	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.399989	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.409980	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.419998	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.429973	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.439963	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.449996	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.459969	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.469983	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.479996	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.490013	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.500007	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.151021	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.201032	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.251086	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.302129	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.352996	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.407562	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.457568	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.510008	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.518189	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.520007	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.529992	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.539966	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.549962	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.559948	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.568982	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.569948	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.579946	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.589965	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.599950	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.609971	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.620015	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.629966	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.639967	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.649971	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.659965	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.669974	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.679964	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.689945	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.699950	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.709957	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.719946	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.729962	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.739996	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.749945	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.759977	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.769964	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.779970	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.789966	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.799978	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.809968	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.819985	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.829980	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.839955	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.849959	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.859955	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.870000	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.879993	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.889966	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.899978	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.909976	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.920009	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.930007	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.940009	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.950229	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.959955	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.970016	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.979966	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.989955	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.999969	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.619057	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.669561	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.720438	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.772238	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.822262	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.872626	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.923485	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.974315	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.009979	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.019972	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.025313	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.029968	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.039958	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.049978	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.060115	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.069957	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.075610	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.079993	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.089947	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.099962	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.110373	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.119998	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.129988	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.140003	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.149981	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.159995	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.169955	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.180002	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.189998	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.199955	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.209978	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.219981	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.229957	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.240003	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.249950	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.259968	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.269972	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.279976	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.289988	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.299988	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
