24230	Buffer Level	Buffer Control PID Delays
0.010026	0.000000	0.000000
0.020003	0.000000	0.000000
0.029993	0.000000	0.000000
0.040011	0.000000	0.000000
0.050026	0.000000	0.000000
0.058827	0.000000	0.000000
0.060031	0.000000	0.000000
0.070002	0.000000	0.000000
0.080031	0.000000	0.000000
0.090006	0.000000	0.000000
0.100026	0.000000	0.000000
0.109092	0.000000	0.000000
0.110019	0.000000	0.000000
0.120021	0.000000	0.000000
0.130008	0.000000	0.000000
0.140023	0.000000	0.000000
0.150003	0.000000	0.000000
0.159643	0.000000	0.000000
0.160000	0.000000	0.000000
0.170006	0.000000	0.000000
0.180020	0.000000	0.000000
0.190013	0.000000	0.000000
0.200043	0.000000	0.000000
0.209966	0.000000	0.000000
0.210015	0.000000	0.000000
0.219998	0.000000	0.000000
0.230016	0.000000	0.000000
0.240000	0.000000	0.000000
0.250034	0.000000	0.000000
0.259999	0.000000	0.000000
0.270005	0.000000	0.000000
0.280053	0.000000	0.000000
0.290003	0.000000	0.000000
0.300038	0.000000	0.000000
0.310030	0.000000	0.000000
0.320034	0.000000	0.000000
0.330051	0.000000	0.000000
0.340368	0.000000	0.000000
0.350031	0.000000	0.000000
0.360388	0.000000	0.000000
0.370167	0.000000	0.000000
0.380050	0.000000	0.000000
0.390063	0.000000	0.000000
0.400105	0.000000	0.000000
0.410038	0.000000	0.000000
0.420059	0.000000	0.000000
0.430292	0.000000	0.000000
0.440008	0.000000	0.000000
0.450126	0.000000	0.000000
0.460034	0.000000	0.000000
0.470049	0.000000	0.000000
0.480288	0.000000	0.000000
0.490012	0.000000	0.000000
0.500025	0.000000	0.000000
0.261643	0.000000	0.000000
0.312575	0.000000	0.000000
0.362616	0.000000	0.000000
0.413636	0.000000	0.000000
0.463857	0.000000	0.000000
0.510068	0.000000	0.000000
0.514742	0.000000	0.000000
0.519989	0.000000	0.000000
0.530000	0.000000	0.000000
0.540053	0.000000	0.000000
0.550030	0.000000	0.000000
0.560045	0.000000	0.000000
0.570052	0.000000	0.000000
0.580025	0.000000	0.000000
0.590063	0.000000	0.000000
0.600005	0.000000	0.000000
0.610050	0.000000	0.000000
0.620007	0.000000	0.000000
0.630045	0.000000	0.000000
0.640054	0.000000	0.000000
0.650009	0.000000	0.000000
0.660062	0.000000	0.000000
0.670022	0.000000	0.000000
0.680022	0.000000	0.000000
0.690038	0.000000	0.000000
0.700051	0.000000	0.000000
0.710015	0.000000	0.000000
0.720052	0.000000	0.000000
0.730005	0.000000	0.000000
0.740037	0.000000	0.000000
0.750042	0.000000	0.000000
0.760051	0.000000	0.000000
0.770049	0.000000	0.000000
0.780130	0.000000	0.000000
