46408	Buffer Level	Buffer Control PID Delays
0.009998	0.000000	0.021800
0.020026	0.000000	0.021800
0.030016	0.000000	0.021800
0.039970	0.000000	0.021800
0.050051	0.000000	0.021800
0.050787	0.000000	0.021800
0.059967	0.000000	0.021800
0.070029	0.000000	0.021800
0.080262	0.000000	0.021800
0.089966	0.000000	0.021800
0.099978	0.000000	0.021800
0.101770	0.000000	0.021800
0.109968	0.000000	0.021800
0.120009	0.000000	0.021800
0.129989	0.000000	0.021800
0.139991	0.000000	0.021800
0.150106	0.000000	0.021800
0.151833	0.000000	0.021800
0.160001	0.000000	0.021800
0.170228	0.000000	0.021800
0.179997	0.000000	0.021800
0.189982	0.000000	0.021800
0.199984	0.000000	0.021800
0.202840	0.000000	0.021800
0.209970	0.000000	0.021800
0.219969	0.000000	0.021800
0.230014	0.000000	0.021800
0.240055	0.000000	0.021800
0.249977	0.000000	0.021800
0.252845	0.000000	0.021800
0.260023	0.000000	0.021800
0.269984	0.000000	0.021800
0.279980	0.000000	0.021800
0.289977	0.000000	0.021800
0.299979	0.000000	0.021800
0.302957	0.000000	0.021800
0.309966	0.000000	0.021800
0.320029	0.000000	0.021800
0.329967	0.000000	0.021800
0.340001	0.000000	0.021800
0.349967	0.000000	0.021800
0.354086	0.000000	0.021800
0.359987	0.000000	0.021800
0.369986	0.000000	0.021800
0.379984	0.000000	0.021800
0.390011	0.000000	0.021800
0.399987	0.000000	0.021800
0.404192	0.000000	0.021800
0.409988	0.000000	0.021800
0.419984	0.000000	0.021800
0.429992	0.000000	0.021800
0.439995	0.000000	0.021800
0.450025	0.000000	0.021800
0.455038	0.000000	0.021800
0.460022	0.000000	0.021800
0.470032	0.000000	0.021800
0.480031	0.000000	0.021800
0.490073	0.000000	0.021800
0.500015	0.000000	0.021800
0.505886	0.000000	0.021800
0.556339	0.000000	0.021800
0.510015	0.000000	0.021800
0.520018	0.000000	0.021800
0.529997	0.000000	0.021800
0.539990	0.000000	0.021800
0.549965	0.000000	0.021800
0.559988	0.000000	0.021800
0.570016	0.000000	0.021800
0.579966	0.000000	0.021800
0.589987	0.000000	0.021800
0.599992	0.000000	0.021800
0.608168	0.000000	0.021800
0.609973	0.000000	0.021800
0.619996	0.000000	0.021800
0.629965	0.000000	0.021800
0.640005	0.000000	0.021800
0.650007	0.000000	0.021800
0.658277	0.000000	0.021800
0.659986	0.000000	0.021800
0.670021	0.000000	0.021800
0.680038	0.000000	0.021800
0.689991	0.000000	0.021800
0.699983	0.000000	0.021800
0.709967	0.000000	0.021800
0.718290	0.000000	0.021800
0.719968	0.000000	0.021800
0.729970	0.000000	0.021800
0.740000	0.000000	0.021800
0.749988	0.000000	0.021800
0.759984	0.000000	0.021800
0.768293	0.000000	0.021800
0.769965	0.000000	0.021800
0.779995	0.000000	0.021800
0.789984	0.000000	0.021800
0.799986	0.000000	0.021800
0.810030	0.000000	0.021800
0.818300	0.000000	0.021800
0.820011	0.000000	0.021800
0.829967	0.000000	0.021800
0.839983	0.000000	0.021800
0.849970	0.000000	0.021800
0.859971	0.000000	0.021800
0.868304	0.000000	0.021800
0.869972	0.000000	0.021800
0.879998	0.000000	0.021800
0.890001	0.000000	0.021800
0.899971	0.000000	0.021800
0.909972	0.000000	0.021800
0.918860	0.000000	0.021800
0.919992	0.000000	0.021800
0.930009	0.000000	0.021800
0.939987	0.000000	0.021800
0.950007	0.000000	0.021800
0.960030	0.000000	0.021800
0.969970	0.000000	0.021800
0.970298	0.000000	0.021800
0.980001	0.000000	0.021800
0.990041	0.000000	0.021800
0.999987	0.000000	0.021800
1.010065	0.000000	0.021800
1.019982	0.000000	0.021800
1.020299	0.000000	0.021800
1.029982	0.000000	0.021800
1.040099	0.000000	0.021800
1.049999	0.000000	0.021800
1.059989	0.000000	0.021800
1.070045	0.000000	0.021800
1.070307	0.000000	0.021800
1.079972	0.000000	0.021800
1.090016	0.000000	0.021800
1.099975	0.000000	0.021800
1.109985	0.000000	0.021800
1.119967	0.000000	0.021800
1.121049	0.000000	0.021800
1.129999	0.000000	0.021800
1.139974	0.000000	0.021800
1.149976	0.000000	0.021800
1.160138	0.000000	0.021800
1.169976	0.000000	0.021800
1.172006	0.000000	0.021800
1.180003	0.000000	0.021800
1.189967	0.000000	0.021800
1.199989	0.000000	0.021800
1.210026	0.000000	0.021800
1.220036	0.000000	0.021800
1.223902	0.000000	0.021800
1.230008	0.000000	0.021800
1.240037	0.000000	0.021800
1.250013	0.000000	0.021800
1.260003	0.000000	0.021800
1.269995	0.000000	0.021800
1.274975	0.000000	0.021800
1.280025	0.000000	0.021800
1.290024	0.000000	0.021800
1.300022	0.000000	0.021800
1.310022	0.000000	0.021800
1.320099	0.000000	0.021800
1.325084	0.000000	0.021800
1.330024	0.000000	0.021800
1.340019	0.000000	0.021800
1.350008	0.000000	0.021800
1.360016	0.000000	0.021800
1.370008	0.000000	0.021800
1.375451	0.000000	0.021800
1.379995	0.000000	0.021800
1.390004	0.000000	0.021800
1.399991	0.000000	0.021800
1.409978	0.000000	0.021800
1.419974	0.000000	0.021800
1.427075	0.000000	0.021800
1.429983	0.000000	0.021800
1.440022	0.000000	0.021800
1.449990	0.000000	0.021800
1.459966	0.000000	0.021800
1.469966	0.000000	0.021800
1.477885	0.000000	0.021800
1.479995	0.000000	0.021800
1.490023	0.000000	0.021800
1.499983	0.000000	0.021800
1.510007	0.000000	0.021800
1.519988	0.000000	0.021800
1.528246	0.000000	0.021800
1.529996	0.000000	0.021800
1.539985	0.000000	0.021800
1.549988	0.000000	0.021800
1.559970	0.000000	0.021800
1.570034	0.000000	0.021800
1.579975	0.000000	0.021800
1.579980	0.000000	0.021800
1.589993	0.000000	0.021800
1.599984	0.000000	0.021800
1.609998	0.000000	0.021800
1.619963	0.000000	0.021800
1.630005	0.000000	0.021800
1.631048	0.000000	0.021800
1.639960	0.000000	0.021800
1.650021	0.000000	0.021800
1.659968	0.000000	0.021800
1.669984	0.000000	0.021800
1.679991	0.000000	0.021800
1.681973	0.000000	0.021800
1.689969	0.000000	0.021800
1.699999	0.000000	0.021800
1.710006	0.000000	0.021800
1.719968	0.000000	0.021800
1.730009	0.000000	0.021800
1.732104	0.000000	0.021800
1.740028	0.000000	0.021800
1.749998	0.000000	0.021800
1.759992	0.000000	0.021800
1.770001	0.000000	0.021800
1.779975	0.000000	0.021800
1.782306	0.000000	0.021800
1.790006	0.000000	0.021800
1.800010	0.000000	0.021800
1.810008	0.000000	0.021800
1.820066	0.000000	0.021800
1.829996	0.000000	0.021800
1.832332	0.000000	0.021800
1.839996	0.000000	0.021800
1.850016	0.000000	0.021800
1.859974	0.000000	0.021800
1.869999	0.000000	0.021800
1.880013	0.000000	0.021800
1.882484	0.000000	0.021800
1.890015	0.000000	0.021800
1.900025	0.000000	0.021800
1.910017	0.000000	0.021800
1.920023	0.000000	0.021800
1.930023	0.000000	0.021800
1.939251	0.000000	0.021800
1.940019	0.000000	0.021800
1.950001	0.000000	0.021800
1.959993	0.000000	0.021800
1.969977	0.000000	0.021800
1.979999	0.000000	0.021800
1.989250	0.000000	0.021800
1.990005	0.000000	0.021800
1.999999	0.000000	0.021800
2.011153	0.000000	0.021800
2.020249	0.000000	0.021800
2.029985	0.000000	0.021800
2.039250	0.000000	0.021800
2.040028	0.000000	0.021800
2.049974	0.000000	0.021800
2.059976	0.000000	0.021800
2.070009	0.000000	0.021800
2.079967	0.000000	0.021800
2.089251	0.000000	0.021800
2.089986	0.000000	0.021800
2.099972	0.000000	0.021800
2.109984	0.000000	0.021800
2.119990	0.000000	0.021800
2.129997	0.000000	0.021800
2.139876	0.000000	0.021800
2.140040	0.000000	0.021800
2.149983	0.000000	0.021800
2.159986	0.000000	0.021800
2.169970	0.000000	0.021800
2.179978	0.000000	0.021800
2.189993	0.000000	0.021800
2.190800	0.000000	0.021800
2.200123	0.000000	0.021800
2.210015	0.000000	0.021800
2.220036	0.000000	0.021800
2.230054	0.000000	0.021800
2.240046	0.000000	0.021800
2.241741	0.000000	0.021800
2.250004	0.000000	0.021800
2.260007	0.000000	0.021800
2.270007	0.000000	0.021800
2.279996	0.000000	0.021800
2.290024	0.000000	0.021800
2.292760	0.000000	0.021800
2.300097	0.000000	0.021800
2.309976	0.000000	0.021800
2.320094	0.000000	0.021800
2.329955	0.000000	0.021800
2.339960	0.000000	0.021800
2.343219	0.000000	0.021800
2.350090	0.000000	0.021800
2.360023	0.000000	0.021800
2.369974	0.000000	0.021800
2.379995	0.000000	0.021800
2.389992	0.000000	0.021800
2.393802	0.000000	0.021800
2.400005	0.000000	0.021800
2.409988	0.000000	0.021800
2.419979	0.000000	0.021800
2.429971	0.000000	0.021800
2.439981	0.000000	0.021800
2.449964	0.000000	0.021800
2.459970	0.000000	0.021800
2.469964	0.000000	0.021800
2.479962	0.000000	0.021800
2.489980	0.000000	0.021800
2.499964	0.000000	0.021800
2.444787	0.000000	0.021800
2.494815	0.000000	0.021800
