15050	X	Z	S	Y	A	B	V	W
0.008507	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.024137	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.039762	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.108764	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.140017	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.155641	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.183560	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.208689	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.224319	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.255568	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.286815	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.308946	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.324576	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.340200	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.355825	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.387072	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.409202	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.424832	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.440456	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.471704	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.491871	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.509500	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.540754	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.556378	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.572002	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.603249	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.609757	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.630674	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.654661	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.679647	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.699634	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.720623	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.736614	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.777591	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.798578	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.822564	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.847550	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.875534	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.896524	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.937499	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.962485	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
0.992306	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.009436	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.025066	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.056313	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.087561	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.109691	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.125320	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.140945	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.156568	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.187467	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.209858	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.225485	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
1.256739	1.749972	-0.109536	-90.000000	2.050188	8.052325	-0.095808	0.000000	0.000000
